day,hour,minute,min_shifts
0,0,0,0
0,0,15,0
0,0,30,0
0,0,45,0
0,1,0,0
0,1,15,0
0,1,30,0
0,1,45,0
0,2,0,0
0,2,15,0
0,2,30,0
0,2,45,0
0,3,0,0
0,3,15,0
0,3,30,0
0,3,45,0
0,4,0,0
0,4,15,0
0,4,30,15
0,4,45,15
0,5,0,15
0,5,15,16
0,5,30,16
0,5,45,18
0,6,0,0
0,6,15,0
0,6,30,0
0,6,45,0
0,7,0,0
0,7,15,0
0,7,30,0
0,7,45,0
0,8,0,0
0,8,15,0
0,8,30,0
0,8,45,0
0,9,0,0
0,9,15,0
0,9,30,0
0,9,45,0
0,10,0,0
0,10,15,0
0,10,30,0
0,10,45,0
0,11,0,0
0,11,15,0
0,11,30,0
0,11,45,0
0,12,0,28
0,12,15,28
0,12,30,28
0,12,45,28
0,13,0,28
0,13,15,28
0,13,30,28
0,13,45,28
0,14,0,28
0,14,15,28
0,14,30,28
0,14,45,28
0,15,0,0
0,15,15,0
0,15,30,0
0,15,45,0
0,16,0,0
0,16,15,0
0,16,30,0
0,16,45,0
0,17,0,0
0,17,15,0
0,17,30,0
0,17,45,0
0,18,0,0
0,18,15,0
0,18,30,0
0,18,45,0
0,19,0,0
0,19,15,0
0,19,30,0
0,19,45,0
0,20,0,15
0,20,15,18
0,20,30,18
0,20,45,18
0,21,0,18
0,21,15,17
0,21,30,17
0,21,45,17
0,22,0,17
0,22,15,16
0,22,30,16
0,22,45,16
0,23,0,15
0,23,15,15
0,23,30,15
0,23,45,15
1,0,0,0
1,0,15,0
1,0,30,0
1,0,45,0
1,1,0,0
1,1,15,0
1,1,30,0
1,1,45,0
1,2,0,0
1,2,15,0
1,2,30,0
1,2,45,0
1,3,0,0
1,3,15,0
1,3,30,0
1,3,45,0
1,4,0,0
1,4,15,0
1,4,30,0
1,4,45,0
1,5,0,0
1,5,15,0
1,5,30,0
1,5,45,0
1,6,0,0
1,6,15,0
1,6,30,0
1,6,45,0
1,7,0,0
1,7,15,0
1,7,30,0
1,7,45,0
1,8,0,0
1,8,15,0
1,8,30,0
1,8,45,0
1,9,0,0
1,9,15,0
1,9,30,0
1,9,45,0
1,10,0,0
1,10,15,0
1,10,30,0
1,10,45,0
1,11,0,0
1,11,15,0
1,11,30,0
1,11,45,0
1,12,0,10
1,12,15,10
1,12,30,10
1,12,45,10
1,13,0,10
1,13,15,10
1,13,30,10
1,13,45,10
1,14,0,10
1,14,15,10
1,14,30,10
1,14,45,10
1,15,0,0
1,15,15,0
1,15,30,0
1,15,45,0
1,16,0,0
1,16,15,0
1,16,30,0
1,16,45,0
1,17,0,0
1,17,15,0
1,17,30,0
1,17,45,0
1,18,0,0
1,18,15,0
1,18,30,0
1,18,45,0
1,19,0,0
1,19,15,0
1,19,30,0
1,19,45,0
1,20,0,0
1,20,15,0
1,20,30,0
1,20,45,0
1,21,0,0
1,21,15,0
1,21,30,0
1,21,45,0
1,22,0,0
1,22,15,0
1,22,30,0
1,22,45,0
1,23,0,0
1,23,15,0
1,23,30,0
1,23,45,0
2,0,0,0
2,0,15,0
2,0,30,0
2,0,45,0
2,1,0,0
2,1,15,0
2,1,30,0
2,1,45,0
2,2,0,0
2,2,15,0
2,2,30,0
2,2,45,0
2,3,0,0
2,3,15,0
2,3,30,0
2,3,45,0
2,4,0,0
2,4,15,0
2,4,30,0
2,4,45,0
2,5,0,0
2,5,15,0
2,5,30,0
2,5,45,0
2,6,0,0
2,6,15,0
2,6,30,0
2,6,45,0
2,7,0,0
2,7,15,0
2,7,30,0
2,7,45,0
2,8,0,0
2,8,15,0
2,8,30,0
2,8,45,0
2,9,0,0
2,9,15,0
2,9,30,0
2,9,45,0
2,10,0,0
2,10,15,0
2,10,30,0
2,10,45,0
2,11,0,0
2,11,15,0
2,11,30,0
2,11,45,0
2,12,0,10
2,12,15,10
2,12,30,10
2,12,45,10
2,13,0,10
2,13,15,10
2,13,30,10
2,13,45,10
2,14,0,10
2,14,15,10
2,14,30,10
2,14,45,10
2,15,0,0
2,15,15,0
2,15,30,0
2,15,45,0
2,16,0,0
2,16,15,0
2,16,30,0
2,16,45,0
2,17,0,0
2,17,15,0
2,17,30,0
2,17,45,0
2,18,0,0
2,18,15,0
2,18,30,0
2,18,45,0
2,19,0,0
2,19,15,0
2,19,30,0
2,19,45,0
2,20,0,0
2,20,15,0
2,20,30,0
2,20,45,0
2,21,0,0
2,21,15,0
2,21,30,0
2,21,45,0
2,22,0,0
2,22,15,0
2,22,30,0
2,22,45,0
2,23,0,0
2,23,15,0
2,23,30,0
2,23,45,0
3,0,0,0
3,0,15,0
3,0,30,0
3,0,45,0
3,1,0,0
3,1,15,0
3,1,30,0
3,1,45,0
3,2,0,0
3,2,15,0
